개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
강동구 둔촌2동 자치회관 다목적실(2층),둔촌2동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 천호대로186길 7,서울특별시 강동구 둔촌동 65,서울특별시 강동구청,둔촌2동,,,37.5333052,127.1419351,2023-08-18,3240000,서울특별시 강동구
서대문구 홍은1동 주민센터 3층 강좌실,홍은1동 주민센터,강의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,20,55,칠판+책상+의자,인터넷,,서울특별시 서대문구 홍은중앙로 85,서울특별시 서대문구 홍은동 11-853,서울특별시 서대문구 홍은1동 주민센터,홍은1동 주민센터,02-330-8483,http://www.sdm.go.kr/dong/he1/index.do,37.598849,126.9471453,2023-07-14,3120000,서울특별시 서대문구
서대문구 홍은2동 주민센터 취미교실,홍은2동 주민센터,강의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,20,50.2,칠판+책상+의자,인터넷,,서울특별시 서대문구 모래내로 334,서울특별시 서대문구 홍은동 273-10,서울특별시 서대문구 홍은2동 주민센터,홍은2동 주민센터,02-330-8501,http://www.sdm.go.kr/dong/he2/index.do,37.58010825,126.934135,2023-07-14,3120000,서울특별시 서대문구
서대문구 남가좌1동 주민자치 지하2층 커뮤니티실1,남가좌1동 주민센터,회의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,50,210,빔프로젝터+ 마이크,인터넷,,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,서울특별시 서대문구 남가좌1동 주민센터,남가좌1동 주민센터,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,37.57327487,126.9197797,2023-07-14,3120000,서울특별시 서대문구
서대문구 남가좌1동 주민센터 지하2층 커뮤니티실2,남가좌1동 주민센터,회의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,20,45,칠판+책상+의자,인터넷,,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,서울특별시 서대문구 남가좌1동 주민센터,남가좌1동 주민센터,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,37.57327487,126.9197797,2023-07-14,3120000,서울특별시 서대문구
서대문구 남가좌1동 주민센터 지하2층 커뮤니티실3,남가좌1동 주민센터,회의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,10,32,칠판+책상+의자,인터넷,,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,서울특별시 서대문구 남가좌1동 주민센터,남가좌1동 주민센터,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,37.57327487,126.9197797,2023-07-14,3120000,서울특별시 서대문구
다원이음터 대강의실2,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 대강의실1,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실9,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실8,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실7,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실6,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실5,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실4,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실2,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 문화교실1,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
동탄2동행정복지센터 소회의실,동탄2동 행정복지센터,회의실,연중무휴,09:30,19:30,09:30,13:30,Y,,,,,,,,,,경기도 화성시 동탄반석로 87,,동탄2동 행정복지센터,,,,37.196921,127.0723124,2025-06-30,5530000,경기도 화성시
강동구 암사2동 자치회관 회의실(3층),암사2동 주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 고덕로24길 49,서울특별시 강동구 암사동 474-6,서울특별시 강동구청,암사2동,,,37.5523331,127.1357214,2023-08-18,3240000,서울특별시 강동구
강동구 암사2동 자치회관 제1강의실(3층),암사2동 주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,서울특별시 강동구청,암사2동,,,37.5517094,127.1272073,2023-08-18,3240000,서울특별시 강동구
강동구 암사3동 자치회관 다목적실1(4층),암사3동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,서울특별시 강동구청,암사3동,,,37.5517094,127.1272073,2023-08-18,3240000,서울특별시 강동구
강동구 암사3동 자치회관 다목적실2(4층),암사3동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,서울특별시 강동구청,암사3동,,,37.5517094,127.1272073,2023-08-18,3240000,서울특별시 강동구
강동구 암사3동 자치회관 회의실(3층),암사3동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,서울특별시 강동구청,암사3동,,,37.5549581,127.1407803,2023-08-18,3240000,서울특별시 강동구
강동구 암사3동 자치회관 강당(5층),암사3동주민센터,강당,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,서울특별시 강동구청,암사3동,,,37.5549581,127.1407803,2023-08-18,3240000,서울특별시 강동구
강동구 천호1동  자치회관 회의실(2층),천호1동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,서울특별시 강동구청,천호1동,,,37.5549581,127.1407803,2023-08-18,3240000,서울특별시 강동구
강동구 천호1동 자치회관 다목적실(3층),천호1동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 구천면로42길 59,서울특별시 강동구 천호동 76-2,서울특별시 강동구청,천호1동,,,37.54502087,127.1367917,2023-08-18,3240000,서울특별시 강동구
강동구 천호2동 주민센터 회의실(3층),천호2동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 구천면로42길 59,서울특별시 강동구 천호동 76-2,서울특별시 강동구청,천호2동,,,37.54502087,127.1367917,2023-08-18,3240000,서울특별시 강동구
강동구 천호2동 제1자치회관 다목적실(4층),천호2동자치회관,다목적실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 올림픽로 698,서울특별시 강동구 천호동 358,서울특별시 강동구청,천호2동,,,37.5434227,127.1254198,2023-08-18,3240000,서울특별시 강동구
강동구 천호3동 자치회관 회의실(17층),천호3동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 천호대로 1089,서울특별시 강동구 천호동 447-17,서울특별시 강동구청,천호3동,,,37.53660488,127.1331156,2023-08-18,3240000,서울특별시 강동구
강동구 성내1동 제1강의실(3층),성내1동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 진황도로23길 7,서울특별시 강동구 천호동 555,서울특별시 강동구청,성내1동,,,37.54004284,127.1297914,2023-08-18,3240000,서울특별시 강동구
강동구 성내1동 제2강의실(3층),성내1동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 성내로 13,서울특별시 강동구 성내동 539-1,서울특별시 강동구청,성내1동,,,37.53047772,127.1224424,2023-08-18,3240000,서울특별시 강동구
강동구 성내2동 자치회관 다목적실(3층),성내2동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 성내로 13,서울특별시 강동구 성내동 539-1,서울특별시 강동구청,성내2동,,,37.53047772,127.1224424,2023-08-18,3240000,서울특별시 강동구
강동구 성내2동 자치회관 새별실(지하1층),성내2동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,서울특별시 강동구청,성내2동,,,37.53243047,127.1295279,2023-08-18,3240000,서울특별시 강동구
양천구 신월4동자치회관 문화강의실,신월4동자치회관,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,5000,,,20,39,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 양천구 오목로5길 34 (신월동),,서울특별시 양천구청,신월4동 주민센터,02-2620-4115,https://yeyak.seoul.go.kr/web/main.do,37.524697,126.840079,2024-09-30,3140000,서울특별시 양천구
양천구 신월4동자치회관 어울림카페,신월4동자치회관,기타,토+일,09:00,18:00,00:00,00:00,N,,,,,20,33,탁자+의자,인터넷+전화+방문,,서울특별시 양천구 오목로5길 34 (신월동),,서울특별시 양천구청,신월4동 주민센터,02-2620-4115,https://yeyak.seoul.go.kr/web/main.do,37.524697,126.840079,2024-09-30,3140000,서울특별시 양천구
양천구 신월5동자치회관 소회의실,신월5동자치회관,회의실,화+목+토+일,09:00,18:00,00:00,00:00,Y,1,5000,,,20,65,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 양천구 화곡로4길 10 (신월동),,서울특별시 양천구청,신월5동 주민센터,02-2620-4137,https://yeyak.seoul.go.kr/web/main.do,37.538583,126.8271742862,2024-09-30,3140000,서울특별시 양천구
양천구 신월5동자치회관 신월스튜디오,신월5동자치회관,기타,금+토+일,09:00,17:00,00:00,00:00,Y,1,5000,,,1,27,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 양천구 화곡로4길 10 (신월동),,서울특별시 양천구청,신월5동 주민센터,02-2620-4137,https://yeyak.seoul.go.kr/web/main.do,37.538583,126.8271742862,2024-09-30,3140000,서울특별시 양천구
영양군 공설운동장,영양군 공설운동장,기타(운동장),첫째 주 금+1월1일+설 연휴+추석 연휴,09:00,22:00,09:00,22:00,Y,4,,1,6000,317,24600,,,,경상북도 영양군 영양읍 군민회관길 75,,경상북도 영양군청,문화관광과,054-680-6453,,36.65736698,129.1183002,2025-06-12,5170000,경상북도 영양군
영양군 복합체육시설 탁구장,영양군 복합체육시설,기타(탁구장),첫째 주 금+1월1일+설 연휴+추석 연휴,09:00,22:00,09:00,22:00,Y,2,2000,,,80,323.11,,,,경상북도 영양군 영양읍 군민회관길 75,,경상북도 영양군청,문화관광과,054-680-6453,,36.65736698,129.1183002,2025-06-12,5170000,경상북도 영양군
영양군 복합체육시설 생활체조장,영양군 복합체육시설,기타(생활체조장),첫째 주 금+1월1일+설 연휴+추석 연휴,09:00,22:00,09:00,22:00,Y,2,13000,,,30,230.72,,,,경상북도 영양군 영양읍 군민회관길 75,,경상북도 영양군청,문화관광과,054-680-6453,,36.65736698,129.1183002,2025-06-12,5170000,경상북도 영양군
영양군 지훈문학관,지훈문학관,전시실,월+1월1일+설 연휴+추석 연휴,09:00,18:00,09:00,18:00,N,,,,,,539,,,,경상북도 영양군 일월면 주실길 55,,경상북도 영양군청,문화관광과,054-680-6462,,36.718684,129.1025487,2025-06-12,5170000,경상북도 영양군
영양문화원,영양문화원,전시실,토+일,09:00,18:00,00:00,00:00,N,,,,,,2109,,,,경상북도 영양군 영양읍 군민회관길 7,,경상북도 영양군청,문화관광과,054-680-6462,,36.663471,129.1175295,2025-06-12,5170000,경상북도 영양군
영양군 영산서원,영산서원,기타(서원),월,10:20,18:00,10:20,18:00,N,,,,,,437.31,,,,경상북도 영양군 영양읍 현동1길 47-16,,경상북도 영양군청,문화관광과,054-680-6462,,36.654586,129.118839,2025-06-12,5170000,경상북도 영양군
황령산레포츠공원 체육센터,황령산레포츠공원,체육관,월(2+4주)+설 연휴+추석연휴+국경일 등등,07:00,21:00,07:00,17:00,Y,2,2000,2,2000,32,1015,,방문,,부산광역시 부산진구 진남로328번길 99,부산광역시 부산진구 전포동 산36,부산광역시 부산진구청,문화체육과,051-605-6455,,35.15702922,129.0753828,2025-06-17,3290000,부산광역시 부산진구
황령산레포츠공원 대운동장,황령산레포츠공원,다목적경기장,월(2+4주)+설 연휴+추석연휴+국경일 등등,07:00,21:00,07:00,18:00,Y,2,40000,2,80000,100,7352,,팩스+메일,,부산광역시 부산진구 진남로328번길 99,부산광역시 부산진구 전포동 산36,부산광역시 부산진구청,문화체육과,051-605-6455,,35.15702922,129.0753828,2025-06-17,3290000,부산광역시 부산진구
황령산레포츠공원 테니스장,황령산레포츠공원,테니스장,월(2+4주)+설 연휴+추석연휴+국경일 등등,07:00,21:00,07:00,18:00,Y,2,2000,2,2000,12,1667,,전화+방문,,부산광역시 부산진구 진남로328번길 99,부산광역시 부산진구 전포동 산36,부산광역시 부산진구청,문화체육과,051-605-6455,,35.15702922,129.0753828,2025-06-17,3290000,부산광역시 부산진구
황령산레포츠공원 게이트볼장,황령산레포츠공원,기타,월(2+4주)+설 연휴+추석연휴+국경일 등등,07:00,22:00,07:00,22:00,N,,,,,30,760,,,,부산광역시 부산진구 진남로328번길 99,부산광역시 부산진구 전포동 산36,부산광역시 부산진구청,문화체육과,051-605-6455,,35.15702922,129.0753828,2025-06-17,3290000,부산광역시 부산진구
남양읍 행정복지센터 대회의실,남양읍 행정복지센터,강당,연중무휴,09:00,19:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 남양읍 남양성지로 192-5,,남양읍 행정복지센터,,,,37.211755,126.8237702,2025-06-30,5530000,경기도 화성시
노작홍사용문학관 화성지역문학관 전시실,노작홍사용문학관,다목적실,매주월요일,09:00,18:00,09:00,18:00,N,,,,,,,,,,경기도 화성시 노작로 206,,노작홍사용문학관,,,,37.20562051,127.075897,2025-06-30,5530000,경기도 화성시
노작홍사용문학관 강의실,노작홍사용문학관,강의실,매주월요일,09:00,17:00,09:00,17:00,N,,,,,,,,,,경기도 화성시 노작로 206,,노작홍사용문학관,,,,37.20562051,127.075897,2025-06-30,5530000,경기도 화성시
노작홍사용문학관 극장,노작홍사용문학관,기타,매주월요일,09:00,17:00,09:00,17:00,N,,,,,,,,,,경기도 화성시 노작로 206,,노작홍사용문학관,,,,37.20562051,127.075897,2025-06-30,5530000,경기도 화성시
늘봄이음터 다목적홀,늘봄이음터,강당,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄대로24길 49,,늘봄이음터,,,,37.21736028,127.1098102,2025-06-30,5530000,경기도 화성시
늘봄이음터 GX실,늘봄이음터,다목적실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄대로24길 49,,늘봄이음터,,,,37.21736028,127.1098102,2025-06-30,5530000,경기도 화성시
늘봄이음터 동아리실3,늘봄이음터,회의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄대로24길 49,,늘봄이음터,,,,37.21736028,127.1098102,2025-06-30,5530000,경기도 화성시
늘봄이음터 동아리실2,늘봄이음터,회의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄대로24길 49,,늘봄이음터,,,,37.21736028,127.1098102,2025-06-30,5530000,경기도 화성시
늘봄이음터 동아리실1,늘봄이음터,회의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄대로24길 49,,늘봄이음터,,,,37.21736028,127.1098102,2025-06-30,5530000,경기도 화성시
다원이음터 강의실2,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 강의실1,다원이음터,강의실,연중무휴,09:00,21:00,09:00,17:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 놀이터,다원이음터,기타,연중무휴,10:00,17:00,10:00,17:00,N,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
다원이음터 실내 체육관,다원이음터,체육관,연중무휴,19:00,21:00,09:00,18:00,Y,,,,,,,,,,경기도 화성시 동탄순환대로 754-14,,다원이음터,,,,37.21054214,127.1048231,2025-06-30,5530000,경기도 화성시
